번호,대여/반납,일시,보관소명,거치대번호,처리자
977388,대여,2012년02월13일19시44분57초,사천교,17,사용자
977390,대여,2012년02월13일19시50분12초,해담는 다리,3,사용자
977395,대여,2012년02월13일19시54분49초,사천교,16,사용자
977398,대여,2012년02월13일20시24분58초,증산2교,11,사용자
977399,대여,2012년02월13일20시30분25초,증산2교,2,사용자
977431,대여,2012년02월14일08시56분29초,증산2교,2,사용자
977433,대여,2012년02월14일09시32분48초,홍은사거리,1,사용자
977435,대여,2012년02월14일09시37분21초,홍은사거리,8,사용자
977437,대여,2012년02월14일10시38분56초,홍은사거리,19,사용자
977439,대여,2012년02월14일11시22분44초,홍은사거리,14,사용자
977443,대여,2012년02월14일12시54분43초,문화촌,15,사용자
977444,대여,2012년02월14일13시17분17초,홍은사거리,1,사용자
977447,대여,2012년02월14일13시48분01초,해담는 다리,8,사용자
977448,대여,2012년02월14일13시48분56초,해담는 다리,14,사용자
977450,대여,2012년02월14일13시51분30초,홍은사거리,8,사용자
977452,대여,2012년02월14일13시53분19초,해담는 다리,14,사용자
977453,대여,2012년02월14일13시54분06초,해담는 다리,2,사용자
977459,대여,2012년02월14일14시49분47초,증산2교,11,사용자
977461,대여,2012년02월14일15시15분48초,홍은사거리,10,사용자
977463,대여,2012년02월14일15시46분57초,홍은사거리,8,사용자
977464,대여,2012년02월14일15시47분20초,사천교,17,사용자
977465,대여,2012년02월14일15시48분25초,사천교,9,사용자
977466,대여,2012년02월14일15시48분52초,문화촌,12,사용자
977469,대여,2012년02월14일15시51분38초,문화촌,18,사용자
977470,대여,2012년02월14일15시52분25초,홍은사거리,23,사용자
977472,대여,2012년02월14일15시57분27초,홍은사거리,14,사용자
977473,대여,2012년02월14일15시57분41초,문화촌,12,사용자
977475,대여,2012년02월14일15시59분48초,홍은사거리,10,사용자
977476,대여,2012년02월14일16시01분11초,홍은사거리,1,사용자
977480,대여,2012년02월14일16시07분12초,홍은사거리,9,사용자
977483,대여,2012년02월14일16시09분24초,홍은사거리,20,사용자
977484,대여,2012년02월14일16시12분51초,홍은사거리,19,사용자
977485,대여,2012년02월14일16시14분23초,홍은사거리,9,사용자
977486,대여,2012년02월14일16시15분44초,홍은사거리,21,사용자
977495,대여,2012년02월14일17시08분29초,해담는 다리,2,사용자
977498,대여,2012년02월14일17시22분52초,사천교,11,사용자
977502,대여,2012년02월14일17시31분17초,문화촌,4,사용자
977504,대여,2012년02월14일17시46분03초,홍은사거리,21,사용자
977509,대여,2012년02월14일17시54분43초,홍은사거리,9,사용자
977519,대여,2012년02월14일18시06분15초,증산2교,17,사용자
977520,대여,2012년02월14일18시08분00초,증산2교,3,사용자
977521,대여,2012년02월14일18시10분59초,증산2교,4,사용자
977522,대여,2012년02월14일18시14분20초,사천교,7,사용자
977523,대여,2012년02월14일18시15분42초,증산2교,11,사용자
977529,대여,2012년02월14일18시29분35초,증산2교,10,사용자
977530,대여,2012년02월14일18시30분00초,사천교,16,사용자
977535,대여,2012년02월14일18시40분27초,사천교,9,사용자
977536,대여,2012년02월14일18시41분57초,사천교,11,사용자
977543,대여,2012년02월14일19시00분15초,해담는 다리,6,사용자
977544,대여,2012년02월14일19시00분53초,해담는 다리,2,사용자
977549,대여,2012년02월14일19시06분40초,사천교,15,사용자
977553,대여,2012년02월14일19시09분46초,사천교,17,사용자
977554,대여,2012년02월14일19시11분51초,해담는 다리,7,사용자
977555,대여,2012년02월14일19시12분26초,해담는 다리,2,사용자
977557,대여,2012년02월14일19시13분17초,해담는 다리,9,사용자
977565,대여,2012년02월14일19시50분33초,홍은사거리,7,사용자
977568,대여,2012년02월14일20시43분02초,홍은사거리,8,사용자
977569,대여,2012년02월14일20시43분53초,홍은사거리,1,사용자
977571,대여,2012년02월14일20시45분48초,홍은사거리,10,사용자
977576,대여,2012년02월14일20시52분16초,증산2교,16,사용자
980712,대여,2012년02월15일08시24분03초,증산2교,2,사용자
980724,대여,2012년02월15일08시24분57초,증산2교,10,사용자
981518,대여,2012년02월15일09시20분12초,문화촌,6,사용자
982318,대여,2012년02월15일10시34분39초,증산2교,11,사용자
982925,대여,2012년02월15일11시18분10초,사천교,15,사용자
982952,대여,2012년02월15일11시19분33초,사천교,3,사용자
983336,대여,2012년02월15일11시43분00초,해담는 다리,11,사용자
984322,대여,2012년02월15일13시52분31초,문화촌,14,사용자
984324,대여,2012년02월15일13시53분42초,문화촌,11,사용자
984399,대여,2012년02월15일14시14분21초,문화촌,19,사용자
984555,대여,2012년02월15일15시22분05초,홍은사거리,14,사용자
984566,대여,2012년02월15일15시27분38초,홍은사거리,8,사용자
984576,대여,2012년02월15일15시31분56초,홍은사거리,9,사용자
984605,대여,2012년02월15일15시45분54초,증산2교,10,사용자
984612,대여,2012년02월15일15시48분36초,홍은사거리,1,사용자
984628,대여,2012년02월15일15시53분00초,홍은사거리,5,사용자
984670,대여,2012년02월15일16시04분09초,증산2교,11,사용자
984833,대여,2012년02월15일17시05분45초,해담는 다리,11,사용자
984852,대여,2012년02월15일17시10분44초,홍은사거리,17,사용자
984856,대여,2012년02월15일17시11분08초,문화촌,14,사용자
984869,대여,2012년02월15일17시14분32초,해담는 다리,5,사용자
984909,대여,2012년02월15일17시33분48초,문화촌,12,사용자
984921,대여,2012년02월15일17시37분35초,문화촌,19,사용자
984959,대여,2012년02월15일17시58분30초,홍은사거리,9,사용자
984961,대여,2012년02월15일18시00분32초,홍은사거리,21,사용자
984962,대여,2012년02월15일18시01분10초,홍은사거리,5,사용자
984976,대여,2012년02월15일18시09분12초,사천교,17,사용자
986094,대여,2012년02월15일19시45분30초,문화촌,12,사용자
987072,대여,2012년02월15일20시23분53초,사천교,1,사용자
987096,대여,2012년02월15일20시24분34초,해담는 다리,13,사용자
987202,대여,2012년02월15일20시29분08초,사천교,8,사용자
988014,대여,2012년02월16일13시54분24초,홍은사거리,20,사용자
988016,대여,2012년02월16일13시58분01초,홍은사거리,9,사용자
988025,대여,2012년02월16일14시21분45초,홍은사거리,1,사용자
988046,대여,2012년02월16일14시30분53초,문화촌,14,사용자
988056,대여,2012년02월16일14시34분21초,사천교,18,사용자
988164,대여,2012년02월16일15시06분55초,증산2교,10,사용자
988167,대여,2012년02월16일15시08분03초,증산2교,7,사용자
988175,대여,2012년02월16일15시15분17초,증산2교,17,사용자
988236,대여,2012년02월16일15시54분34초,사천교,1,사용자
988247,대여,2012년02월16일15시56분28초,사천교,4,사용자
988265,대여,2012년02월16일16시10분37초,문화촌,12,사용자
988266,대여,2012년02월16일16시12분29초,문화촌,17,사용자
988270,대여,2012년02월16일16시19분02초,문화촌,19,사용자
988274,대여,2012년02월16일16시31분02초,문화촌,12,사용자
988289,대여,2012년02월16일17시14분42초,증산2교,14,사용자
988330,대여,2012년02월16일17시52분23초,홍은사거리,7,사용자
988333,대여,2012년02월16일17시58분54초,홍은사거리,1,사용자
988336,대여,2012년02월16일18시49분45초,홍은사거리,16,사용자
988337,대여,2012년02월16일18시56분37초,홍은사거리,24,사용자
988346,대여,2012년02월16일18시57분46초,홍은사거리,5,사용자
988349,대여,2012년02월16일19시49분24초,홍은사거리,19,사용자
988357,대여,2012년02월16일20시08분26초,홍은사거리,7,사용자
988367,대여,2012년02월17일09시44분59초,증산2교,11,사용자
988743,대여,2012년02월20일10시53분04초,증산2교,14,사용자
988745,대여,2012년02월20일12시58분48초,홍은사거리,9,사용자
988776,대여,2012년02월20일13시26분55초,문화촌,10,사용자
988784,대여,2012년02월20일13시29분00초,문화촌,14,사용자
988787,대여,2012년02월20일13시29분54초,문화촌,12,사용자
988802,대여,2012년02월20일13시34분54초,증산2교,16,사용자
988842,대여,2012년02월20일14시07분12초,문화촌,10,사용자
988851,대여,2012년02월20일14시10분25초,사천교,15,사용자
